tfidf,token
8.394356513857263,common
8.394356513857263,communicate
6.741433489483423,communication
8.799821621965428,communications
8.026631733731946,comp
8.799821621965428,companies
6.878009024489175,companion
7.456086875264332,companion pass
6.125672972538898,company
8.799821621965428,company fly
8.106674441405481,compassion
7.500538637835167,compensate
8.512139549513646,compensated
6.953994931467096,compensation
8.799821621965428,competition
7.952523761578224,complain
6.720380080285591,complaint
7.333484553172,complaints
7.125845188393756,complete
6.953994931467096,completely
8.64567094213817,completely unacceptable
8.288995998199436,complimentary
6.784918601423162,computer
7.883530890091272,computers
7.456086875264332,concern
7.952523761578224,concerned
8.394356513857263,concerns
8.64567094213817,concourse
7.7583677471372665,conditions
7.259376581018278,conf
8.193685818395112,conference
7.157593886708336,confirm
6.357474586596223,confirmation
8.64567094213817,confirmation code
8.394356513857263,confirmation email
7.547058653470059,confirmation number
6.853911472910114,confirmed
8.64567094213817,confirmed flight
8.799821621965428,confirming
8.799821621965428,conflicting
8.193685818395112,confused
8.512139549513646,confusion
7.701209333297317,congrats
7.224285261207008,connect
8.026631733731946,connected
6.080721584676632,connecting
6.43269800783381,connecting flight
8.64567094213817,connecting flights
5.5611431698010465,connection
8.799821621965428,connection help
6.980663178549258,connections
7.701209333297317,consider
8.799821621965428,consideration
8.026631733731946,considering
8.512139549513646,consistent
8.394356513857263,consistently
8.64567094213817,constant
8.799821621965428,constantly
8.288995998199436,cont
6.048286308923478,contact
8.799821621965428,contact info
7.952523761578224,contacted
7.883530890091272,contacting
8.799821621965428,content
8.026631733731946,contest
8.64567094213817,continental
7.701209333297317,continue
8.512139549513646,continued
8.106674441405481,continues
8.64567094213817,continuing
8.799821621965428,contract
7.295744225189153,control
8.512139549513646,control weather
8.799821621965428,conversation
6.417193821297845,cool
8.394356513857263,copy
8.799821621965428,corp
7.7583677471372665,corporate
8.512139549513646,corporation
6.878009024489175,correct
8.394356513857263,correctly
6.464446706148391,cost
8.799821621965428,cost change
8.64567094213817,costa
8.64567094213817,costa rica
8.64567094213817,costing
8.026631733731946,costs
8.288995998199436,costumer
7.500538637835167,count
6.83038097549992,counter
6.640337372612055,counting
7.095073529727002,country
8.512139549513646,country flight
7.7583677471372665,couple
8.799821621965428,couple weeks
8.512139549513646,coupon
7.224285261207008,course
8.512139549513646,courteous
7.818992368953701,courtesy
8.64567094213817,cousin
7.372705266325282,cover
8.288995998199436,cowboycerrone
8.799821621965428,crackers
8.799821621965428,cranky
7.952523761578224,crap
7.883530890091272,crappy
8.64567094213817,crash
8.64567094213817,crashed
8.799821621965428,crashing
7.065220566577321,crazy
8.512139549513646,created
5.855382642798987,credit
7.157593886708336,credit card
8.64567094213817,credited
8.106674441405481,credits
5.162235462239042,crew
8.799821621965428,crew did
8.193685818395112,crew flight
8.512139549513646,crew member
8.799821621965428,crew members
7.952523761578224,crews
8.799821621965428,crisis
7.701209333297317,cross
7.952523761578224,cross country
7.547058653470059,crossed
8.512139549513646,crying
7.372705266325282,cs
8.394356513857263,csr
8.64567094213817,cuba
8.106674441405481,cun
8.394356513857263,cup
8.394356513857263,curious
7.456086875264332,current
6.784918601423162,currently
6.640337372612055,cust
8.799821621965428,cust serv
7.547058653470059,cust service
8.288995998199436,cust svc
3.980885046475723,customer
7.500538637835167,customer care
8.288995998199436,customer experience
7.190383709531327,customer relations
4.265431618038383,customer service
8.512139549513646,customer services
8.288995998199436,customer support
8.512139549513646,customer svc
5.371225266115157,customers
6.953994931467096,customerservice
8.799821621965428,customerservicefail
8.64567094213817,customs
8.799821621965428,custserv
7.500538637835167,cut
8.799821621965428,cute
8.512139549513646,cutting
8.288995998199436,cuz
8.799821621965428,cvg
8.288995998199436,cx
8.394356513857263,cxl
8.026631733731946,dad
7.701209333297317,daily
7.456086875264332,dal
6.091771420863217,dallas
8.64567094213817,dallas austin
8.799821621965428,dallaslovefield
8.64567094213817,damage
7.818992368953701,damaged
7.456086875264332,damn
8.799821621965428,dancing
8.799821621965428,dang
8.799821621965428,darn
8.64567094213817,data
6.9280194450638355,date
8.026631733731946,dates
7.259376581018278,daughter
8.64567094213817,daughters
8.193685818395112,david
4.786446122276994,day
8.799821621965428,day amp
8.394356513857263,day flight
8.394356513857263,day late
8.64567094213817,day trying
8.193685818395112,day vacation
8.799821621965428,day work
5.140542637627782,days
8.193685818395112,days ago
8.512139549513646,days amp
8.799821621965428,days flight
8.288995998199436,days late
6.602597044629208,dc
5.873082219898388,dca
8.799821621965428,dca bos
7.952523761578224,dead
6.741433489483423,deal
7.190383709531327,dealing
7.595848817639491,deals
8.512139549513646,dealt
8.512139549513646,dear
7.883530890091272,death
8.64567094213817,death teens
8.512139549513646,december
8.512139549513646,decent
8.512139549513646,decide
8.288995998199436,decided
8.288995998199436,decision
8.799821621965428,decisions
8.512139549513646,deep
8.799821621965428,def
8.512139549513646,define
7.456086875264332,definitely
8.394356513857263,degree
8.288995998199436,degrees
4.92515440308105,delay
7.595848817639491,delay flight
8.64567094213817,delay hours
4.326279878455772,delayed
8.799821621965428,delayed amp
8.799821621965428,delayed bag
7.952523761578224,delayed cancelled
6.548529823358932,delayed flight
7.456086875264332,delayed flights
7.952523761578224,delayed hour
6.6597554584691565,delayed hours
7.6471421120270415,delayed hrs
8.799821621965428,delayed late
8.64567094213817,delayed mechanical
8.64567094213817,delayed minutes
8.64567094213817,delayed miss
8.512139549513646,delayed times
8.64567094213817,delayed weather
7.883530890091272,delaying
8.64567094213817,delaying flight
5.5743012543785575,delays
7.7583677471372665,delays cancelled
7.595848817639491,deliver
7.008062152737372,delivered
7.595848817639491,delivery
5.928141997081415,delta
6.5842479059610115,den
7.547058653470059,denied
6.184861843929229,denver
7.259376581018278,depart
8.193685818395112,departed
7.547058653470059,departing
7.595848817639491,department
7.952523761578224,departs
6.080721584676632,departure
7.595848817639491,departure time
8.288995998199436,departures
7.952523761578224,deplane
8.394356513857263,deplaned
7.6471421120270415,dept
8.512139549513646,deserve
8.799821621965428,deserved
7.883530890091272,deserves
8.64567094213817,design
8.512139549513646,designed
6.343085849144123,desk
8.64567094213817,desks
8.799821621965428,desktop
8.512139549513646,desperately
7.065220566577321,despite
8.512139549513646,dest
6.372073386017376,destination
6.172740483396884,destinationdragons
8.799821621965428,destinationdragons http
8.64567094213817,destinationdragons imaginedragons
8.512139549513646,destinations
6.902701637079546,details
8.64567094213817,detroit
8.394356513857263,device
5.52267688897325,dfw
7.7583677471372665,dfw cancelled
8.799821621965428,dfw gate
8.64567094213817,dfw tomorrow
7.701209333297317,dfwairport
7.883530890091272,dia
4.357170365475111,did
8.193685818395112,did cancelled
8.64567094213817,did care
8.288995998199436,did flight
8.512139549513646,did great
8.394356513857263,did help
8.512139549513646,did just
7.7583677471372665,did know
7.952523761578224,did make
8.512139549513646,did need
8.799821621965428,did pay
8.799821621965428,did say
8.799821621965428,did thanks
8.394356513857263,did want
8.193685818395112,did work
8.64567094213817,didn
8.026631733731946,didnt
8.512139549513646,die
8.799821621965428,died
7.595848817639491,diego
7.701209333297317,diff
7.500538637835167,difference
6.102944721461342,different
8.64567094213817,different airline
8.394356513857263,different flight
8.799821621965428,different things
8.026631733731946,difficult
8.64567094213817,digital
8.799821621965428,digital journal
8.799821621965428,dime
8.193685818395112,dinner
6.1372337949399745,direct
7.6471421120270415,direct flight
7.7583677471372665,direct flights
8.799821621965428,direct message
8.512139549513646,directed
7.952523761578224,directly
8.64567094213817,directtv
8.193685818395112,dirty
8.512139549513646,disappeared
8.512139549513646,disappoint
5.966608277909211,disappointed
8.64567094213817,disappointed flight
8.394356513857263,disappointed service
7.6471421120270415,disappointing
8.106674441405481,disappointment
7.818992368953701,disaster
8.394356513857263,disconnect
6.953994931467096,disconnected
8.394356513857263,disconnects
8.106674441405481,discount
8.512139549513646,discounts
8.106674441405481,discuss
8.394356513857263,disgrace
8.799821621965428,disgraceful
8.288995998199436,disgusted
7.818992368953701,disgusting
8.512139549513646,disney
8.512139549513646,disregard
8.799821621965428,disrespect
8.64567094213817,dissatisfied
8.193685818395112,diverted
7.190383709531327,dividend
7.259376581018278,dividend miles
4.982109296008522,dm
8.799821621965428,dm conf
7.952523761578224,dm confirmation
8.394356513857263,dm details
8.394356513857263,dm follow
8.193685818395112,dm info
7.952523761578224,dm sent
7.818992368953701,dmed
8.64567094213817,dming
8.799821621965428,dobetter
8.64567094213817,document
4.768535195710463,does
8.799821621965428,does care
8.799821621965428,does customer
8.799821621965428,does flight
8.799821621965428,does happen
7.456086875264332,does help
8.64567094213817,does know
8.288995998199436,does look
7.883530890091272,does make
7.6471421120270415,does mean
7.295744225189153,does work
8.193685818395112,doesnt
7.818992368953701,dog
6.22213323872646,doing
8.512139549513646,doing best
8.394356513857263,doing great
8.512139549513646,dollar
7.6471421120270415,dollars
7.333484553172,domestic
8.64567094213817,domestic flight
8.106674441405481,don
7.157593886708336,dont
7.259376581018278,door
8.106674441405481,doors
8.799821621965428,dot
